Category,File,Dissimilarity,Correlation,Contrast,Energy,Homogeneity,ASM
czerwona,czerwona_0_0_features.txt,"[14.29170768 45.17533635 45.84940945 46.67034534 11.4690625  43.26133787
 16.437875   39.64588057 14.97846799 46.0610692  35.84749746 50.33721384]","[ 0.81655077 -0.46787724 -0.48892596 -0.55128062  0.87619412 -0.34947494
  0.75298282 -0.14930873  0.79299381 -0.50831067  0.03789115 -0.78053685]","[ 328.82874016 2630.18060636 2668.42937992 2779.7023994   221.9376875
 2416.62591333  442.284125   2058.32098765  370.86020071 2699.14977888
 1721.21360518 3186.23146462]","[0.01660082 0.01341296 0.01368231 0.01372998 0.01774252 0.01314251
 0.01594258 0.01305451 0.01623073 0.01376431 0.01291662 0.01567722]","[0.06967284 0.01490255 0.01491511 0.01352273 0.09325711 0.01562042
 0.06458919 0.01731783 0.07212162 0.01492943 0.02051331 0.01310693]","[0.00027559 0.00017991 0.00018721 0.00018851 0.0003148  0.00017273
 0.00025417 0.00017042 0.00026344 0.00018946 0.00016684 0.00024578]"
czerwona,czerwona_0_128_features.txt,"[14.58483022 45.06218612 45.79343012 46.62031124 11.89625    42.29503653
 17.4979375  38.24092971 15.41012449 46.4346384  33.24377541 50.52855099]","[ 0.80564829 -0.47690679 -0.50166598 -0.56629072  0.86529683 -0.31520525
  0.71911729 -0.0911052   0.77874679 -0.54447889  0.14189532 -0.80438162]","[ 344.26556348 2615.64746729 2659.35654528 2774.03651807  238.6995
 2327.78848576  496.9991875  1931.22745024  392.15847307 2734.3216051
 1517.06237297 3194.70193809]","[0.01606527 0.01333623 0.01363285 0.01374356 0.01706136 0.01291795
 0.01521673 0.01285414 0.01567572 0.01379876 0.01275515 0.01580499]","[0.07221496 0.01526481 0.01474706 0.01408193 0.08994032 0.01773942
 0.06144147 0.01805088 0.07073971 0.01432793 0.02332949 0.01175424]","[0.00025809 0.00017785 0.00018585 0.00018889 0.00029109 0.00016687
 0.00023155 0.00016523 0.00024573 0.00019041 0.00016269 0.0002498 ]"
czerwona,czerwona_128_0_features.txt,"[14.79060039 45.53425507 45.78481791 46.27255255 10.92525    42.6803351
 17.0886875  40.83383724 14.36058181 46.98016389 36.4792937  49.70037721]","[ 0.80444295 -0.47792944 -0.47444075 -0.52441929  0.88864319 -0.31291661
  0.73859358 -0.20253122  0.81338189 -0.55197318  0.0144931  -0.72103967]","[ 354.04736713 2677.33461467 2670.79958169 2761.45886292  201.737125
 2378.66559587  473.2274375  2178.83144369  337.97567327 2813.18997138
 1784.42035061 3119.29546046]","[0.01664129 0.01348756 0.01363882 0.01350792 0.01827454 0.01303497
 0.01599579 0.01312687 0.01670067 0.01386321 0.01292864 0.01503727]","[0.07220032 0.01546075 0.01296952 0.01495761 0.09638021 0.01692517
 0.06316989 0.01780487 0.07505052 0.01326351 0.02124708 0.0127913 ]","[0.00027693 0.00018191 0.00018602 0.00018246 0.00033396 0.00016991
 0.00025587 0.00017231 0.00027891 0.00019219 0.00016715 0.00022612]"
czerwona,czerwona_128_128_features.txt,"[14.29515256 46.03205406 46.52060778 47.31954864 11.1721875  43.24300831
 16.76725    40.23066264 14.28734756 47.49453694 35.72878557 51.1046436 ]","[ 0.81755821 -0.47893983 -0.49237415 -0.55129548  0.88475187 -0.32302699
  0.74753535 -0.15429928  0.81363278 -0.5567075   0.06100685 -0.77447172]","[ 334.76882382 2714.9495319  2740.04669045 2847.87866576  211.4558125
 2425.97215923  463.157      2116.44129504  342.09159045 2857.00390219
 1723.08739837 3256.72587149]","[0.0165735  0.01357987 0.01374956 0.01388526 0.0178857  0.01309457
 0.01577169 0.01312302 0.0164724  0.01401614 0.01293184 0.01573747]","[0.0751788  0.01453603 0.01377025 0.01385011 0.09562328 0.01661511
 0.06380578 0.01879238 0.07337445 0.01339197 0.02180043 0.01284574]","[0.00027468 0.00018441 0.00018905 0.0001928  0.0003199  0.00017147
 0.00024875 0.00017221 0.00027134 0.00019645 0.00016723 0.00024767]"
gres,gres_0_0_features.txt,"[0.55671752 0.98040796 0.76316437 0.83545167 1.204875   1.51480222
 1.520625   1.2319224  1.5148628  1.97762747 1.82507622 1.53173777]","[0.99244485 0.98015605 0.98719852 0.98550112 0.9728773  0.95339233
 0.95263967 0.97010844 0.95718626 0.9066228  0.92429565 0.95043348]","[0.78309547 1.98580197 1.30327264 1.4483849  2.71575    4.44475939
 4.531      2.82879819 4.14303862 8.24674818 6.90396341 4.23829344]","[0.14663534 0.11929972 0.13178193 0.12452641 0.10772344 0.10021354
 0.09983942 0.1062884  0.0991936  0.0923873  0.09402311 0.09884313]","[0.74344719 0.60186529 0.6696003  0.64049139 0.53564131 0.47828303
 0.48138678 0.52861522 0.46746157 0.41382516 0.43631842 0.46412077]","[0.02150192 0.01423242 0.01736648 0.01550683 0.01160434 0.01004275
 0.00996791 0.01129722 0.00983937 0.00853541 0.00884034 0.00976996]"
gres,gres_0_128_features.txt,"[0.53284941 0.89379379 0.74495571 0.89162378 1.144125   1.32961703
 1.45       1.33106576 1.41514228 1.57706816 1.65231199 1.66259105]","[0.98691321 0.97019781 0.97716554 0.97019707 0.95487488 0.93950667
 0.92935207 0.94026658 0.93395987 0.91879077 0.9130425  0.91308613]","[0.78543307 1.77456755 1.36921752 1.77487755 2.670375   3.54554044
 4.162      3.50188964 3.85581809 4.61023673 5.03493394 4.9425078 ]","[0.14325459 0.11696285 0.12631179 0.11650977 0.1041101  0.09848589
 0.09421368 0.09758531 0.0939625  0.09049898 0.08815758 0.08745098]","[0.7576873  0.63309122 0.6836555  0.63307195 0.56200412 0.52059982
 0.49554773 0.51546006 0.49678968 0.4611717  0.44959417 0.4403504 ]","[0.02052188 0.01368031 0.01595467 0.01357453 0.01083891 0.00969947
 0.00887622 0.00952289 0.00882895 0.00819007 0.00777176 0.00764767]"
gres,gres_128_0_features.txt,"[0.837906   1.19666439 0.9812377  1.24614049 1.5991875  1.6521164
 1.733      1.71693122 1.76841972 1.80931322 1.86693343 1.88351977]","[0.94617802 0.90265329 0.92819351 0.89330577 0.83373825 0.82628905
 0.80811    0.81135691 0.79894033 0.79034448 0.78260867 0.77672765]","[1.49095719 2.69037138 2.00006152 2.9491599  4.5383125  4.76158982
 5.341625   5.17472915 5.40142276 5.64789282 6.04503303 6.0351847 ]","[0.14149134 0.12055025 0.13212657 0.11834202 0.10602066 0.1043516
 0.1013768  0.10228233 0.10138029 0.10038252 0.0978166  0.09809907]","[0.64304867 0.53744203 0.60149    0.52756811 0.44975944 0.43707893
 0.42978535 0.42908345 0.41636434 0.41055713 0.404657   0.39766716]","[0.0200198  0.01453236 0.01745743 0.01400483 0.01124038 0.01088926
 0.01027726 0.01046167 0.01027796 0.01007665 0.00956809 0.00962343]"
gres,gres_128_128_features.txt,"[0.71278297 1.05797012 0.89505413 1.13274227 1.4555     1.53571429
 1.6641875  1.62994457 1.69772612 1.75943028 1.8379065  1.82537721]","[0.97669612 0.95584326 0.9640373  0.94633765 0.91981856 0.91511583
 0.89448558 0.89779985 0.89206227 0.88544114 0.87680261 0.87748898]","[1.17513533 2.21365243 1.8101624  2.69055738 4.015375   4.22228521
 5.2703125  5.08660872 5.36502795 5.60711498 6.11293191 6.01203174]","[0.13037324 0.10987824 0.11952038 0.10764038 0.09562304 0.09276386
 0.09040442 0.09130715 0.08935496 0.08814385 0.08611306 0.08638886]","[0.68662651 0.57597603 0.63256243 0.56407009 0.48376213 0.46067277
 0.44794893 0.45398083 0.43940775 0.42557034 0.41367791 0.41435995]","[0.01699718 0.01207323 0.01428512 0.01158645 0.00914377 0.00860513
 0.00817296 0.008337   0.00798431 0.00776934 0.00741546 0.00746303]"
tynk,tynk_0_0_features.txt,"[14.45238681 21.1512183  17.81317667 17.72533945 23.6080625  26.77947846
 27.03775    23.04976064 26.59082825 28.90381113 28.9484248  26.93015088]","[ 0.70207982  0.38376507  0.54756026  0.55597717  0.25112817  0.05316292
  0.03492005  0.28346242  0.06723749 -0.10161992 -0.09325286  0.04617905]","[ 356.04096949  734.7520615   539.77183809  529.38508277  895.0308125
 1129.07955404 1152.392625    854.51776266 1113.17797256 1313.79494017
 1305.75152439 1137.66922477]","[0.01511066 0.01339619 0.01413344 0.01412671 0.01305098 0.01287041
 0.01275689 0.01307987 0.01280195 0.0129182  0.0128155  0.01280631]","[0.0736453  0.04903727 0.06086724 0.06015896 0.04461007 0.03625797
 0.03706361 0.04307867 0.03828867 0.03444225 0.03361997 0.03547867]","[0.00022833 0.00017946 0.00019975 0.00019956 0.00017033 0.00016565
 0.00016274 0.00017108 0.00016389 0.00016688 0.00016424 0.000164  ]"
tynk,tynk_0_128_features.txt,"[16.79779774 23.68274537 19.93325541 19.38564077 25.80575    30.15079365
 29.8823125  24.74508692 29.484375   32.92273673 32.16412602 29.23907388]","[ 0.67923715  0.38767942  0.55553791  0.58150699  0.29054978  0.06519106
  0.07843959  0.34328898  0.09834808 -0.09774011 -0.05783952  0.11712851]","[ 485.00215305  926.19610639  672.43473179  632.97110794 1073.3985
 1416.30322499 1397.2493125   994.73866213 1366.43559451 1666.30788241
 1601.59743394 1339.4305411 ]","[0.01343538 0.01211512 0.01273094 0.01286215 0.01189571 0.01171029
 0.01159682 0.01203676 0.01164489 0.01166203 0.01161922 0.01176036]","[0.0629386  0.04458736 0.05383249 0.05379454 0.03967212 0.03184385
 0.03246071 0.04192784 0.0340505  0.02928635 0.03141365 0.03351586]","[0.00018051 0.00014678 0.00016208 0.00016543 0.00014151 0.00013713
 0.00013449 0.00014488 0.0001356  0.000136   0.00013501 0.00013831]"
